year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
1951,1951332N14256,UNNAMED,,EP,single,MEX,22.1,42.9,363801,4979625990,0,0,0,0
1951,1951337N09150,UNNAMED,,WP,multi,PHL,61.3,119.2,20464826,1.88E+11,12675908,1.13E+11,5618193,48973327246
1952,1952019S11139,UNNAMED,,SP,single,AUS,25,48.5,12818,1596848852,0,0,0,0
1952,1952024S11159,UNNAMED,,SP,single,SLB,28.4,55.2,49092,403569056,0,0,0,0
1952,1952033N19273,UNNAMED,,NA,multi,BHS,34.8,67.7,58682,2483279247,655,57636019,0,0
1952,1952033N19273,UNNAMED,,NA,multi,CAN,39.8,77.4,443565,63621457246,135579,17147954800,0,0
1952,1952033N19273,UNNAMED,,NA,multi,CUB,39.9,77.6,4157355,35307163882,2838557,19838475575,0,0
1952,1952033N19273,UNNAMED,,NA,multi,USA,49.7,96.7,6895030,1.21E+12,5266106,8.60E+11,0,0
1952,1952162N15118,CHARLOTTE,,WP,multi,CHN,49.5,96.1,91145825,2.17E+12,10656436,2.53E+11,20,0
1952,1952162N15118,CHARLOTTE,,WP,multi,HKG,22,42.8,7832154,1.18E+12,0,0,0,0
1952,1952165N15261,UNNAMED,,EP,single,MEX,20.8,40.4,321895,4180707584,0,0,0,0
1952,1952171N12130,DINAH,,WP,multi,JPN,56.8,110.5,51940834,5.99E+12,1681240,1.92E+11,1798,355592721
1952,1952171N12130,DINAH,,WP,multi,PHL,17.9,34.8,28,0,0,0,0,0
1952,1952178N15123,UNNAMED,,WP,single,CHN,21.1,41,8737644,1.70E+11,0,0,0,0
1952,1952191N23124,FREDA,,WP,single,JPN,21,40.9,571059,87312133598,0,0,0,0
1952,1952197N27130,GILDA,,WP,multi,CHN,33.1,64.3,33091282,7.59E+11,0,0,0,0
1952,1952197N27130,GILDA,,WP,multi,JPN,24.2,47,586326,45222015822,0,0,0,0
1952,1952206N09134,HARRIET,,WP,multi,CHN,65.4,127.1,45028068,1.07E+12,22694573,4.93E+11,10999197,2.25E+11
1952,1952206N09134,HARRIET,,WP,multi,PHL,44.6,86.7,1035028,7694119323,3661,28241811,0,0
1952,1952215N13131,JEANNE,,WP,single,JPN,29.7,57.8,164,86401983,0,0,0,0
1952,1952221N23125,UNNAMED,,WP,multi,CHN,24.5,47.6,6026563,1.34E+11,0,0,0,0
1952,1952221N23125,UNNAMED,,WP,multi,VNM,22.2,43.2,15110712,82806993702,0,0,0,0
1952,1952224N14135,KAREN,,WP,multi,JPN,44.7,86.9,3289762,4.44E+11,721121,66732957432,0,0
1952,1952224N14135,KAREN,,WP,multi,KOR,46.4,90.2,40218488,5.86E+12,8663029,1.30E+12,0,0
1952,1952224N14135,KAREN,,WP,multi,PRK,21.9,42.6,464418,2080656706,0,0,0,0
1952,1952231N15341,ABLE,,NA,multi,BHS,20.2,39.3,3157,244035417,0,0,0,0
1952,1952231N15341,ABLE,,NA,multi,CAN,17.6,34.3,34861,3639641096,0,0,0,0
1952,1952231N15341,ABLE,,NA,multi,USA,48.2,93.7,68121496,1.27E+13,28778275,4.77E+12,0,0
1952,1952236N10135,LOIS,,WP,multi,CHN,50.1,97.4,12752124,2.99E+11,4496355,1.04E+11,47345,1124252984
1952,1952236N10135,LOIS,,WP,multi,LAO,26.3,51.2,92553,1132598278,0,0,0,0
1952,1952236N10135,LOIS,,WP,multi,PHL,33,64.2,21602184,2.24E+11,18,0,0,0
1952,1952236N10135,LOIS,,WP,multi,VNM,44.5,86.6,37820682,2.39E+11,19585576,1.16E+11,0,0
1952,1952241N08137,MARY,,WP,multi,CHN,33.8,65.7,52759674,1.16E+12,13188,204836975,0,0
1952,1952241N08137,MARY,,WP,multi,KOR,38.6,75,30087991,4.22E+12,1670948,4.24E+11,0,0
1952,1952241N08137,MARY,,WP,multi,PHL,33.7,65.5,293175,3036380123,0,0,0,0
1952,1952241N08137,MARY,,WP,multi,TWN,45.4,88.2,17157638,3.69E+12,9998655,2.05E+12,0,0
1952,1952241N32282,UNNAMED,,NA,single,USA,30.8,59.8,4041012,9.32E+11,0,0,0,0
1952,1952242N08137,MARY,,WP,multi,CHN,42.5,82.6,112459615,2.61E+12,29602446,7.07E+11,0,0
1952,1952242N08137,MARY,,WP,multi,KOR,42.1,81.9,33602566,4.82E+12,4204981,8.47E+11,0,0
1952,1952242N08137,MARY,,WP,multi,PHL,45.1,87.7,7311735,56042740048,104943,1471488534,0,0
1952,1952242N08137,MARY,,WP,multi,PRK,21.8,42.4,105519,374423289,0,0,0,0
1952,1952242N08137,MARY,,WP,multi,TWN,39.8,77.4,13479645,2.86E+12,2967415,4.27E+11,0,0
1952,1952244N15306,BAKER,,NA,single,CAN,19.1,37.1,34,12178959,0,0,0,0
1952,1952251N11139,UNNAMED,,WP,multi,CHN,26.5,51.6,71737153,1.65E+12,0,0,0,0
1952,1952251N11139,UNNAMED,,WP,multi,TWN,26.7,51.9,12037775,2.50E+12,0,0,0,0
1952,1952252N42337,UNNAMED,,NA,multi,AND,20.5,39.8,82310,69868070,0,0,0,0
1952,1952252N42337,UNNAMED,,NA,multi,ESP,33.9,65.9,12906514,1.09E+12,57660,8086442885,0,0
1952,1952252N42337,UNNAMED,,NA,multi,FRA,22,42.8,1352737,1.47E+11,0,0,0,0
1952,1952252N42337,UNNAMED,,NA,multi,PRT,25.1,48.8,125821,8849794562,0,0,0,0
1952,1952260N17119,UNNAMED,,WP,multi,CHN,24.7,48.1,5739446,1.29E+11,0,0,0,0
1952,1952260N17119,UNNAMED,,WP,multi,VNM,25.4,49.5,19018319,1.05E+11,0,0,0,0
1952,1952268N20291,CHARLIE,,NA,single,BHS,21.3,41.4,1222,100208572,0,0,0,0
1952,1952287N09148,TRIX,,WP,multi,KHM,26.6,51.7,7109,129734276,0,0,0,0
1952,1952287N09148,TRIX,,WP,multi,LAO,42.6,82.7,1440575,11022030975,59386,803336222,0,0
1952,1952287N09148,TRIX,,WP,multi,PHL,67.4,131.1,43820633,3.81E+11,15600481,1.66E+11,7144691,83260332561
1952,1952287N09148,TRIX,,WP,multi,THA,23.9,46.6,3499978,22092892995,0,0,0,0
1952,1952287N09148,TRIX,,WP,multi,VNM,47.8,92.9,9250376,58983974091,2453602,16006999595,0,0
1952,1952288N10118,SHIRLY,,WP,single,VNM,24.6,47.8,1849851,10784775389,0,0,0,0
1952,1952289N15128,UNNAMED,,WP,multi,KHM,18.3,35.6,12448,141084119,0,0,0,0
1952,1952289N15128,UNNAMED,,WP,multi,VNM,48.7,94.7,7578438,77699629654,1568548,13547391430,0,0
1952,1952295N11282,FOX,,NA,multi,BHS,44.7,86.9,293157,9183200803,277631,8070715021,0,0
1952,1952295N11282,FOX,,NA,multi,CUB,68.1,132.4,5433586,46021769677,1542163,15335561405,653115,6763354534
1952,1952295N11282,FOX,,NA,multi,USA,19.9,38.7,6352,2130182496,0,0,0,0
1952,1952296N06152,WILMA,,WP,multi,KHM,26.8,52.1,1527196,6382214155,0,0,0,0
1952,1952296N06152,WILMA,,WP,multi,LAO,39,75.8,1643650,12392706788,425278,2675117003,0,0
1952,1952296N06152,WILMA,,WP,multi,PHL,73,141.9,28281376,2.78E+11,7957281,82798482201,3424599,34688722025
1952,1952296N06152,WILMA,,WP,multi,THA,33.4,65,6042616,38078695993,14738,112655764,0,0
1952,1952296N06152,WILMA,,WP,multi,VNM,42.3,82.1,7740268,46548515805,428096,3235890397,0,0
1952,1952303N09149,AGNES,,WP,multi,JPN,26.4,51.4,1129855,96380240787,0,0,0,0
1952,1952312N08150,BESS,,WP,multi,CHN,40.6,78.8,14485495,2.72E+11,175732,3596710775,0,0
1952,1952312N08150,BESS,,WP,multi,JPN,35,68,91971,9381301770,0,0,0,0
1952,1952312N08150,BESS,,WP,multi,PHL,59.1,114.8,67049,753753797,196,7315041,0,0
1952,1952312N08150,BESS,,WP,multi,TWN,67.2,130.6,22945626,4.75E+12,18707438,3.69E+12,3976192,6.58E+11
1952,1952321N10146,CARMEN,,WP,single,JPN,19,37,68570,6629179008,0,0,0,0
1952,1952326N07144,DELLA,,WP,multi,CHN,23.3,45.2,9194658,1.67E+11,0,0,0,0
1952,1952326N07144,DELLA,,WP,multi,PHL,77.3,150.3,21317838,1.77E+11,10779239,73292958553,7004569,42140810019
1952,1952326N07144,DELLA,,WP,multi,TWN,39.7,77.1,10095661,2.09E+12,0,0,0,0
1952,1952352N07147,GLORIA,,WP,multi,KHM,34.3,66.7,173886,1685380119,775,24490890,0,0
1952,1952352N07147,GLORIA,,WP,multi,LAO,33.5,65.1,843628,5851295064,836,26537366,0,0
1952,1952352N07147,GLORIA,,WP,multi,PHL,56.2,109.3,20905872,2.12E+11,4876466,49189372931,473869,5561361058
1952,1952352N07147,GLORIA,,WP,multi,THA,23.2,45.1,311754,2065105533,0,0,0,0
1952,1952352N07147,GLORIA,,WP,multi,VNM,39.2,76.3,8387548,65570890579,2233328,14661495558,0,0
1952,1952359N09151,UNNAMED,,WP,multi,PHL,20.4,39.6,595886,5229706508,0,0,0,0
1953,1953146N14278,ALICE,,NA,multi,CUB,27.3,53.1,3657352,29546301312,0,0,0,0
1953,1953146N14278,ALICE,,NA,multi,HND,22.8,44.3,96685,1480045871,0,0,0,0
